Time,Execution Time
Thu Nov 26 15:20:23 2020,0.4154698848724365
Thu Nov 26 15:20:24 2020,0.43298888206481934
Thu Nov 26 15:20:26 2020,0.3965301513671875
Thu Nov 26 15:20:27 2020,0.43096113204956055
Thu Nov 26 15:20:29 2020,0.43025684356689453
Thu Nov 26 15:20:30 2020,0.4385237693786621
Thu Nov 26 15:20:32 2020,0.4523282051086426
Thu Nov 26 15:20:33 2020,0.43247509002685547
Thu Nov 26 15:20:34 2020,0.41753697395324707
Thu Nov 26 15:20:36 2020,0.4265882968902588
Thu Nov 26 15:20:37 2020,0.42820286750793457
Thu Nov 26 15:20:39 2020,0.40932488441467285
Thu Nov 26 15:20:40 2020,0.40338611602783203
Thu Nov 26 15:20:42 2020,0.43796420097351074
Thu Nov 26 15:20:43 2020,0.4093918800354004
Thu Nov 26 15:20:44 2020,0.432697057723999
Thu Nov 26 15:20:46 2020,0.4379618167877197
Thu Nov 26 15:20:47 2020,0.4088101387023926
Thu Nov 26 15:20:49 2020,0.40991997718811035
Thu Nov 26 15:20:50 2020,0.4477682113647461
Thu Nov 26 15:20:52 2020,0.40768003463745117
Thu Nov 26 15:20:53 2020,0.44356203079223633
Thu Nov 26 15:20:54 2020,0.4519779682159424
Thu Nov 26 15:20:56 2020,0.40137815475463867
Thu Nov 26 15:20:57 2020,0.4379761219024658
Thu Nov 26 15:20:59 2020,0.4479060173034668
Thu Nov 26 15:21:00 2020,0.4317049980163574
Thu Nov 26 15:21:02 2020,0.4569387435913086
Thu Nov 26 15:21:03 2020,0.8110122680664062
Thu Nov 26 15:21:05 2020,0.4341390132904053
Thu Nov 26 15:21:06 2020,0.4146139621734619
Thu Nov 26 15:21:08 2020,0.4148240089416504
Thu Nov 26 15:21:09 2020,0.41025710105895996
Thu Nov 26 15:21:11 2020,0.4211857318878174
Thu Nov 26 15:21:12 2020,0.41165614128112793
Thu Nov 26 15:21:13 2020,0.37642693519592285
Thu Nov 26 15:21:15 2020,0.3946828842163086
Thu Nov 26 15:21:16 2020,0.42955517768859863
Thu Nov 26 15:21:18 2020,0.4066188335418701
Thu Nov 26 15:21:19 2020,0.40302276611328125
Thu Nov 26 15:21:20 2020,0.4190220832824707
Thu Nov 26 15:21:22 2020,0.4133131504058838
Thu Nov 26 15:21:23 2020,0.39888691902160645
Thu Nov 26 15:21:25 2020,0.4133419990539551
Thu Nov 26 15:21:26 2020,0.3905470371246338
Thu Nov 26 15:21:27 2020,0.40370893478393555
Thu Nov 26 15:21:29 2020,0.4467661380767822
Thu Nov 26 15:21:30 2020,0.405289888381958
Thu Nov 26 15:21:32 2020,0.4135861396789551
Thu Nov 26 15:21:33 2020,0.43034911155700684
Thu Nov 26 15:21:35 2020,0.4316537380218506
Thu Nov 26 15:21:36 2020,0.44436192512512207
Thu Nov 26 15:21:38 2020,0.4426438808441162
Thu Nov 26 15:21:39 2020,0.43285417556762695
Thu Nov 26 15:21:40 2020,0.39757704734802246
Thu Nov 26 15:21:42 2020,0.42975711822509766
Thu Nov 26 15:21:43 2020,0.3581070899963379
Thu Nov 26 15:21:45 2020,0.4308648109436035
Thu Nov 26 15:21:46 2020,0.4152710437774658
Thu Nov 26 15:21:47 2020,0.4339478015899658
Thu Nov 26 15:21:49 2020,0.42166709899902344
Thu Nov 26 15:21:50 2020,0.44538402557373047
Thu Nov 26 15:21:52 2020,0.4008660316467285
Thu Nov 26 15:21:53 2020,0.4011509418487549
Thu Nov 26 15:21:55 2020,0.4342038631439209
Thu Nov 26 15:21:56 2020,0.40484619140625
Thu Nov 26 15:21:57 2020,0.4037959575653076
Thu Nov 26 15:21:59 2020,0.42606282234191895
Thu Nov 26 15:22:00 2020,0.39623093605041504
Thu Nov 26 15:22:02 2020,0.4152359962463379
Thu Nov 26 15:22:03 2020,0.38643503189086914
Thu Nov 26 15:22:04 2020,0.40844011306762695
Thu Nov 26 15:22:06 2020,0.3649892807006836
